Unnamed: 0,Unnamed: 1,Unnamed: 2,MDA Code,MDA Name,MDA Type,Cluster,Tier,Justification (Summary)
,,,3004.0,Agriculture and Food Authority,Agency,Agriculture Rural and Urban Development,Tier 2,Representative regulator/service body; permits/licensing/registries; moderate volumes; suitable exemplar.
,,,3009.0,Anti-Counterfeit Authority,Agency,General Economic and Commercial Affairs,Tier 2,Representative regulator/service body; permits/licensing/registries; moderate volumes; suitable exemplar.
,,,3012.0,Assets Recovery Agency,Agency,Governance Justice Law and Order,Tier 2,High-sensitivity financial crime records; inter-agency dependencies; strong public interest.
,,,3013.0,Athi Water Works Development Agency,Agency,Environment Protection Water and Natural Resources,Tier 2,Representative regulator/service body; permits/licensing/registries; moderate volumes; suitable exemplar.
,,,3021.0,Business Registration Service,Agency,General Economic and Commercial Affairs,Tier 2,Company/BN registries; core to private sector enablement.
,,,,Cabinet Office,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3034.0,Competition Authority of Kenya,Agency,General Economic and Commercial Affairs,Tier 2,Investigations/mergers filings; moderate citizen-facing impact.
,,,3043.0,Energy and Petroleum Regulatory Authority,Agency,Energy Infrastructure and ICT,Tier 2,Energy sector regulation; safety and market oversight.
,,,3057.0,Higher Education Loans Board,Agency,Education,Tier 2,Representative regulator/service body; permits/licensing/registries; moderate volumes; suitable exemplar.
,,,,Huduma Secretariat,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,Kenya Accountants and Secretaries National Examinations Board,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3080.0,Kenya Agricultural and Livestock Research Organization,Agency,Agriculture Rural and Urban Development,Tier 2,Priority within 'Agriculture Rural and Urban Development' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3081.0,Kenya Airports Authority,Agency,Energy Infrastructure and ICT,Tier 2,Ports operations; logistics interfaces; permits.
,,,3084.0,Kenya Broadcasting Corporation,Agency,Energy Infrastructure and ICT,Tier 2,Priority within 'Energy Infrastructure and ICT' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3084.0,Kenya Broadcasting Corporation,Agency,Energy Infrastructure and ICT,Tier 2,Priority within 'Energy Infrastructure and ICT' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3085.0,Kenya Bureau of Standards,Agency,General Economic and Commercial Affairs,Tier 2,Standards/certification; trade facilitation; labs and document flows.
,,,3091.0,Kenya Dairy Board,Agency,Agriculture Rural and Urban Development,Tier 2,Priority within 'Agriculture Rural and Urban Development' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3103.0,Kenya Fishing Industries Corporation,Agency,Agriculture Rural and Urban Development,Tier 2,Priority within 'Agriculture Rural and Urban Development' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3105.0,Kenya Forest Service,Agency,Environment Protection Water and Natural Resources,Tier 2,"Forest licenses, permits, enforcement records; socio-environmental sensitivity."
,,,3114.0,Kenya Institute of Curriculum Development,Agency,Education,Tier 2,Priority within 'Education' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3118.0,Kenya Investment Authority,Agency,General Economic and Commercial Affairs,Tier 2,Priority within 'General Economic and Commercial Affairs' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3123.0,Kenya Maritime Authority,Agency,Energy Infrastructure and ICT,Tier 2,Maritime administration; seafarer/ship records; port state control.
,,,3124.0,Kenya Meat Commission,Agency,Agriculture Rural and Urban Development,Tier 2,Priority within 'Agriculture Rural and Urban Development' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3128.0,Kenya Medical Supplies Authority,Agency,Health,Tier 2,National health supply chain; procurement and stock records; sensitivity.
,,,3132.0,Kenya National Bureau of Statistics,Agency,Macro Working Group,Tier 2,Official statistics; data governance; cross-government integration.
,,,3135.0,Kenya National Examinations Council,Agency,Education,Tier 2,High-stakes national certification; large volumes; integrity requirements.
,,,3136.0,Kenya National Highways Authority,Agency,Energy Infrastructure and ICT,Tier 2,Roads wayleaves/permits; contractor management.
,,,,Kenya Pipeline Company Limited,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3149.0,Kenya Ports Authority,Agency,Energy Infrastructure and ICT,Tier 2,Ports operations; logistics interfaces; permits.
,,,,Kenya Power and Lighting Company Limited,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3153.0,Kenya Railways Corporation,Agency,Energy Infrastructure and ICT,Tier 2,Rail operations; passenger and freight services; permits/concessions.
,,,3155.0,Kenya Revenue Authority,Agency,Macro Working Group,Tier 2,Taxpayer systems; revenue; integrations; political salience.
,,,3157.0,Kenya Rural Roads Authority,Agency,Energy Infrastructure and ICT,Tier 2,Rural roads programs; permits; regional inclusion.
,,,3166.0,Kenya Tourism Board,Agency,General Economic and Commercial Affairs,Tier 2,Priority within 'General Economic and Commercial Affairs' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3167.0,Kenya Trade Network Agency,Agency,General Economic and Commercial Affairs,Tier 2,Priority within 'General Economic and Commercial Affairs' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,Kenya Universities and Colleges Central Placement Service,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3171.0,Kenya Urban Roads Authority,Agency,Energy Infrastructure and ICT,Tier 2,Urban roads works; permitting with county interfaces.
,,,3177.0,Kenya Wildlife Service,Agency,Environment Protection Water and Natural Resources,Tier 2,Conservation permits/licensing; national interest; sensitive records.
,,,3211.0,Micro and Small Enterprises Authority,Agency,General Economic and Commercial Affairs,Tier 2,Priority within 'General Economic and Commercial Affairs' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,Nairobi Metropolitan Area Transport Authority,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3226.0,National Cereals and Produce Board,Agency,Agriculture Rural and Urban Development,Tier 2,Priority within 'Agriculture Rural and Urban Development' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3228.0,National Construction Authority,Agency,Energy Infrastructure and ICT,Tier 2,Permits and contractor registry; technical records; sector exemplar.
,,,3237.0,National Employment Authority,Agency,Social Protection Culture and Recreation,Tier 2,Job matching services; registries; privacy considerations.
,,,3238.0,National Environment Management Authority,Agency,Environment Protection Water and Natural Resources,Tier 2,Permitting and compliance; environmental impact and public scrutiny.
,,,3244.0,National Housing Corporation,Agency,Energy Infrastructure and ICT,Tier 2,Housing programs; beneficiary selection; financing/allocations.
,,,3247.0,National Irrigation Authority,Agency,Environment Protection Water and Natural Resources,Tier 2,Priority within 'Environment Protection Water and Natural Resources' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3250.0,National Museums of Kenya,Agency,Social Protection Culture and Recreation,Tier 2,Priority within 'Social Protection Culture and Recreation' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3251.0,National Oil Corporation of Kenya,Agency,Energy Infrastructure and ICT,Tier 2,Priority within 'Energy Infrastructure and ICT' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,National Police Service (NPS),,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3254.0,National Social Security Fund,Agency,Social Protection Culture and Recreation,Tier 2,Pension contributions/benefits; sensitive PII; high national coverage.
,,,3256.0,National Transport and Safety Authority,Agency,Energy Infrastructure and ICT,Tier 2,Licensing/vehicle registries; road safety; public-facing services.
,,,3259.0,National Youth Service,Agency,Social Protection Culture and Recreation,Tier 2,Priority within 'Social Protection Culture and Recreation' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,NGOs Coordination Board,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,Office of Data Protection Commissioner,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,Office of the Prime Cabinet Secretary,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3282.0,Public Procurement Regulatory Authority,Agency,Public Administration and International Relations,Tier 2,Priority within 'Public Administration and International Relations' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,Public Service Commission,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,3291.0,Retirement Benefits Authority,Agency,Public Administration and International Relations,Tier 2,Pension supervision; fund records; moderate public interface.
,,,,Sacco Societies Regulatory Authority,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,Social Health Authority,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,"Sports , Arts and Social Development Fund",,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,state department for  Tranport,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,State Department for Basic Education,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,State Department for Broadcasting and Telecommunications,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,State Department for Correctional Services,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,State Department for Crop Development,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,State department for Energy,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,state department for foreign Affairs,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,,State Department for Forestry,,,Tier 2,Priority within '' cluster; selected by ICTA as Tier 2. Expected high impact and/or feasibility.
,,,2001.0,ASALs and Regional Development,Department,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3001.0,Agri and Cooperative Training and Consultancy Services Limted (subsidary of Cooperative University),Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3002.0,Agricultural Development Corporation,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3005.0,Agro-Chemical and Food Company,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3006.0,Ahero Rice Mills,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3007.0,Alupe University College,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3008.0,Animal Technicians Council,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3010.0,Anti-Doping Agency of Kenya,Agency,Social Protection Culture and Recreation,Tier 3,Represents 'Social Protection Culture and Recreation' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3011.0,Anti-Female Genital Mutilation Board,Agency,Social Protection Culture and Recreation,Tier 3,Represents 'Social Protection Culture and Recreation' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3014.0,Auctioneers Licensing Board,Agency,Governance Justice Law and Order,Tier 3,Represents 'Governance Justice Law and Order' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3015.0,Bandari Maritime Academy,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2002.0,Basic Education,Department,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3016.0,Board of Registration of Architects and Quantity Surveyors,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3017.0,Bomas of Kenya,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3018.0,Bomet University College,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2003.0,Broadcasting and Telecommunications,Department,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3019.0,Building Surveyors Registration Board,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3020.0,Bukura Agricultural College,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3023.0,CBL Bancassurance Intermediary Limited( subsidiary of consolidated Bank),Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3022.0,Capital Markets Authority,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3024.0,Central Rift Valley Water Works Development Agency,Agency,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3025.0,"Centre for Mathematics, Science and Technology Education in Africa",Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3026.0,Chemelil Sugar Company Limited,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3027.0,Child Welfare Society of Kenya,Agency,Social Protection Culture and Recreation,Tier 3,Represents 'Social Protection Culture and Recreation' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3028.0,Chuka University,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2004.0,Citizen Services,Department,Governance Justice Law and Order,Tier 3,Represents 'Governance Justice Law and Order' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3029.0,Clinical Officers Council of Kenya,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3036.0,Co-operative University of Kenya,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3030.0,Coast Development Authority,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3031.0,Coast Water Works Development Agency,Agency,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3032.0,Commission for University Education,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3033.0,Communications Authority of Kenya,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3035.0,Consolidated Bank of Kenya,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2005.0,Cooperatives,Department,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,2006.0,Correctional Services,Department,Governance Justice Law and Order,Tier 3,Represents 'Governance Justice Law and Order' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3037.0,Council of Legal Education,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3038.0,Counsellors and Psychologists Board,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2007.0,Crop Development,Department,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,2008.0,Culture and Heritage,Department,Social Protection Culture and Recreation,Tier 3,Represents 'Social Protection Culture and Recreation' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3039.0,Dedan Kimathi University of Technology,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2009.0,Defence,Department,National Security,Tier 3,Represents 'National Security' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3040.0,Development Bank of Kenya,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3041.0,East African Portland Cement Company,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2010.0,Economic Planning,Department,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3042.0,Egerton University,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2011.0,Energy,Department,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3044.0,Engineers Board of Kenya,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2012.0,Environment and Forestry,Department,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3045.0,Estate Agents Registration Board,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3047.0,Ewaso Ng'iro North River Basin Development Authority,Agency,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3046.0,Ewaso Ng’iro South Development Authority,Agency,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3048.0,Export Processing Zones Authority,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3049.0,Fertilizers and Animal Foodstuffs Board of Kenya,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3050.0,Financial Reporting Centre,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2013.0,Foreign Affairs,Department,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3051.0,Garissa University,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3052.0,Gatitu Tea Factory(subsidiary Nyayo Tea Zone),Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2014.0,Gender and Affirmative Action,Department,Social Protection Culture and Recreation,Tier 3,Represents 'Social Protection Culture and Recreation' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3053.0,Geologist Registration Board,Agency,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3054.0,Geothermal Development Company (GDC),Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3055.0,Golf Hotel Kakamega,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3056.0,Health Records and Information Managers Board,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2015.0,Heath Standards and Professional Management,Department,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,2016.0,Higher Education and Training,Department,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,2017.0,Housing and Urban Development,Department,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3058.0,Human Resource Management Professionals Examination Board,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3059.0,Hydrologists Registration Board,Agency,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3060.0,IDB Capital,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3061.0,Industrial and Commercial  Development Corporation,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2018.0,Information Communication Technology and Digital Economy,Department,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3062.0,Information and Communication Technology Authority (ICTA),Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3063.0,Institute of Certified Investment and Financial Analysts,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3064.0,Institute of Certified Public Accountants of Kenya,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3065.0,Institute of Human Resource Management,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
