Service_Code,Ministry,Department_Agency,Service_Family,Service_Category,Service_Name,Channel_Type,Service_Nature,Delivery_Mode,Digital_Platform,Legal_Basis,Target_Segment,Shared_Capabilities_Required,Lifecycle_Tag,Priority_Tier
TRE-ACC-002,National Treasury and Economic Planning,National Treasury,Public Finance & Procurement,Accounting Services,Financial Reporting Consolidation,G2G,Transactional,Physical,IFMIS,Public Finance Management Act,Whole-of-government reports,Payments,Internal Government,Tier 3
TRE-ACC-003,National Treasury and Economic Planning,National Treasury,Public Finance & Procurement,Accounting Services,Annual Financial Statements Submission,G2G,Transactional,Physical,IFMIS,Public Finance Management Act,Statutory reporting,Payments,Internal Government,Tier 3
TRE-PROC-001,National Treasury and Economic Planning,Public Procurement Regulatory Authority,Public Finance & Procurement,Public Procurement Policy,Procurement Policy Guidance,G2G,Informational,Online,PPRA Portal,Public Procurement and Asset Disposal Act,Regulatory oversight,"Identity, Notifications, Workflow",Internal Government,Tier 3
TRE-PROC-002,National Treasury and Economic Planning,Public Procurement Regulatory Authority,Public Finance & Procurement,Public Procurement Policy,Registration Of Procuring Entities,G2G,Regulatory,Online,PPRA Portal,Public Procurement and Asset Disposal Act,Institutional registration,"Identity, Notifications, Workflow",Internal Government,Tier 3
TRE-PROC-003,National Treasury and Economic Planning,Public Procurement Regulatory Authority,Public Finance & Procurement,Public Procurement Policy,Procurement Compliance Monitoring,G2G,Regulatory,Physical,PPRA Systems,Public Procurement and Asset Disposal Act,Oversight function,None,Internal Government,Tier 3
TRE-DEBT-001,National Treasury and Economic Planning,National Treasury,Public Finance & Procurement,Public Debt Management,Public Debt Issuance Management,G2G,Transactional,Physical,Debt Management Systems,Public Finance Management Act,Domestic and external debt,Payments,Internal Government,Tier 3
TRE-DEBT-002,National Treasury and Economic Planning,National Treasury,Public Finance & Procurement,Public Debt Management,Debt Servicing And Repayment,G2G,Transactional,Physical,Debt Management Systems,Public Finance Management Act,Loan servicing,Payments,Internal Government,Tier 3
TRE-DEBT-003,National Treasury and Economic Planning,National Treasury,Public Finance & Procurement,Public Debt Management,Debt Register Maintenance,G2G,Transactional,Physical,Internal Systems,Public Finance Management Act,National debt register,Payments,Internal Government,Tier 3
TRE-REV-001,National Treasury and Economic Planning,Kenya Revenue Authority,Taxation & Revenue Administration,Revenue Administration,Pin Registration,C2G/B2G,Transactional,Online,iTax,Kenya Revenue Authority Act,Citizen and business-facing,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
TRE-REV-002,National Treasury and Economic Planning,Kenya Revenue Authority,Taxation & Revenue Administration,Revenue Administration,Tax Return Filing,C2G/B2G,Transactional,Online,iTax,Income Tax Act,Recurring obligation,"Payments, Identity, Notifications, Workflow",Citizen,Tier 1
TRE-REV-003,National Treasury and Economic Planning,Kenya Revenue Authority,Taxation & Revenue Administration,Revenue Administration,Tax Payment Processing,C2G/B2G,Transactional,Online,iTax,Tax Statutes,Linked to returns,"Payments, Identity, Notifications, Workflow",Citizen,Tier 1
TRE-REV-004,National Treasury and Economic Planning,Kenya Revenue Authority,Taxation & Revenue Administration,Revenue Administration,Tax Compliance Certificates,B2G,Regulatory,Online,iTax,Tax Procedures Act,Used for procurement,"Identity, Notifications, Workflow",Business,Tier 2
TRE-PEN-001,National Treasury and Economic Planning,Pensions Department,Social Protection & Welfare,Pensions Administration,Pension Processing For Retirees,C2G,Transactional,Physical,Pensions Systems,Pensions Act,Public officers,Payments,Citizen,Tier 2
TRE-PEN-002,National Treasury and Economic Planning,Pensions Department,Social Protection & Welfare,Pensions Administration,Gratuity Payment Processing,C2G,Transactional,Physical,Pensions Systems,Pensions Act,Retirement benefits,Payments,Citizen,Tier 2
TRE-PEN-003,National Treasury and Economic Planning,Pensions Department,Social Protection & Welfare,Pensions Administration,Pension Verification Exercises,C2G,Transactional,Physical,Pensions Offices,Pensions Act,Periodic validation,Payments,Citizen,Tier 2
TRE-PLAN-001,National Treasury and Economic Planning,State Department for Economic Planning,Governance & Intergovernmental Coordination,Economic Planning,Medium Term Plan Preparation,G2G,Transactional,Physical,Planning Systems,State Corporations Act / Planning Mandate,National development planning,Payments,Internal Government,Tier 3
TRE-PLAN-002,National Treasury and Economic Planning,State Department for Economic Planning,Governance & Intergovernmental Coordination,Economic Planning,Public Investment Appraisal,G2G,Regulatory,Physical,Public Investment Systems,Public Finance Management Act,Project approvals,None,Internal Government,Tier 3
TRE-PLAN-003,National Treasury and Economic Planning,State Department for Economic Planning,Governance & Intergovernmental Coordination,Economic Planning,Monitoring And Evaluation Reporting,G2G,Transactional,Physical,M&E Systems,Executive Planning Mandate,Programme tracking,Payments,Internal Government,Tier 3
TRE-AID-001,National Treasury and Economic Planning,National Treasury,Public Finance & Procurement,External Resources,Donor Funding Negotiation,G2G,Transactional,Physical,Internal Systems,Public Finance Management Act,Development partners,Payments,Internal Government,Tier 3
TRE-AID-002,National Treasury and Economic Planning,National Treasury,Public Finance & Procurement,External Resources,Grant And Loan Agreement Registration,G2G,Regulatory,Physical,Debt & Aid Systems,Public Finance Management Act,External financing,None,Internal Government,Tier 3
TRE-AID-003,National Treasury and Economic Planning,National Treasury,Public Finance & Procurement,External Resources,Aid Effectiveness Reporting,G2G,Informational,Physical,Aid Management Systems,Paris Declaration Commitments,Donor reporting,None,Internal Government,Tier 3
LND-ADM-001,Ministry of Lands Housing and Urban Development,Department of Lands,"Land, Housing & Property Administration",Land Administration,Land Title Search,C2G/B2G,Transactional,Online,eCitizen,Land Registration Act,Citizen and business-facing,"Payments, Identity, Notifications, Workflow",Citizen,Tier 1
LND-ADM-002,Ministry of Lands Housing and Urban Development,Department of Lands,"Land, Housing & Property Administration",Land Administration,Land Title Registration,C2G/B2G,Transactional,Online,eCitizen,Land Registration Act,Ownership establishment,"Payments, Identity, Notifications, Workflow",Citizen,Tier 1
LND-ADM-003,Ministry of Lands Housing and Urban Development,Department of Lands,"Land, Housing & Property Administration",Land Administration,Transfer Of Land Ownership,C2G/B2G,Transactional,Online,eCitizen,Land Registration Act,Sale or transfer,"Payments, Identity, Notifications, Workflow",Citizen,Tier 1
LND-ADM-004,Ministry of Lands Housing and Urban Development,Department of Lands,"Land, Housing & Property Administration",Land Administration,Replacement Of Lost Title Deed,C2G/B2G,Transactional,Online,eCitizen,Land Registration Act,Citizen-facing,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
LND-ADM-005,Ministry of Lands Housing and Urban Development,Department of Lands,"Land, Housing & Property Administration",Land Administration,Registration Of Charges And Mortgages,B2G,Regulatory,Online,eCitizen,Land Act,Financial institutions,"Identity, Notifications, Workflow",Business,Tier 2
LND-SUR-001,Ministry of Lands Housing and Urban Development,Survey of Kenya,"Land, Housing & Property Administration",Survey and Mapping,Cadastral Survey Approval,B2G,Regulatory,Hybrid,Survey Systems,Survey Act,Land subdivision,"Identity, Notifications, Workflow",Business,Tier 2
LND-SUR-002,Ministry of Lands Housing and Urban Development,Survey of Kenya,"Land, Housing & Property Administration",Survey and Mapping,Deed Plan Preparation,B2G,Transactional,Hybrid,Survey Systems,Survey Act,Land registration support,"Payments, Identity, Notifications, Workflow",Business,Tier 2
LND-SUR-003,Ministry of Lands Housing and Urban Development,Survey of Kenya,"Land, Housing & Property Administration",Survey and Mapping,Topographical Mapping Services,B2G,Informational,Hybrid,Survey Systems,Survey Act,Maps and geospatial data,"Identity, Notifications, Workflow",Business,Tier 2
LND-PLN-001,Ministry of Lands Housing and Urban Development,Physical Planning Directorate,"Land, Housing & Property Administration",Physical Planning,Development Permission Application,C2G/B2G,Regulatory,Physical,County Systems,Physical and Land Use Planning Act,Delegated to counties,None,Citizen,Tier 2
LND-PLN-002,Ministry of Lands Housing and Urban Development,Physical Planning Directorate,"Land, Housing & Property Administration",Physical Planning,Change Of User Approval,C2G/B2G,Regulatory,Physical,County Systems,Physical and Land Use Planning Act,Land use change,None,Citizen,Tier 2
LND-PLN-003,Ministry of Lands Housing and Urban Development,Physical Planning Directorate,"Land, Housing & Property Administration",Physical Planning,Subdivision Approval,C2G/B2G,Regulatory,Physical,County Systems,Physical and Land Use Planning Act,Land subdivision,None,Citizen,Tier 2
LND-VAL-001,Ministry of Lands Housing and Urban Development,Government Valuer,"Land, Housing & Property Administration",Valuation Services,Valuation For Stamp Duty,B2G,Regulatory,Hybrid,Lands Systems,Stamp Duty Act,Property transactions,"Identity, Notifications, Workflow",Business,Tier 2
LND-VAL-002,Ministry of Lands Housing and Urban Development,Government Valuer,"Land, Housing & Property Administration",Valuation Services,Compulsory Acquisition Valuation,C2G,Transactional,Physical,Lands Systems,Land Act,Public interest acquisitions,Payments,Citizen,Tier 2
LND-ADJ-001,Ministry of Lands Housing and Urban Development,Land Adjudication Department,"Land, Housing & Property Administration",Land Adjudication,Land Adjudication And Settlement,C2G,Entitlement-Based,Physical,Field Operations,Land Adjudication Act,Customary land areas,None,Citizen,Tier 1
LND-ADJ-002,Ministry of Lands Housing and Urban Development,Land Adjudication Department,"Land, Housing & Property Administration",Land Adjudication,Resolution Of Land Adjudication Objections,C2G,Transactional,Physical,Adjudication Offices,Land Adjudication Act,Dispute resolution,Payments,Citizen,Tier 1
HOU-AFF-001,Ministry of Lands Housing and Urban Development,Affordable Housing Programme,"Land, Housing & Property Administration",Housing Programmes,Affordable Housing Application,C2G,Entitlement-Based,Online,Affordable Housing Portal,Affordable Housing Framework Act,Citizen-facing,"Identity, Notifications, Workflow",Citizen,Tier 2
HOU-AFF-002,Ministry of Lands Housing and Urban Development,Affordable Housing Programme,"Land, Housing & Property Administration",Housing Programmes,Allocation Of Affordable Housing Units,C2G,Transactional,Online,Affordable Housing Portal,Affordable Housing Framework Act,Beneficiary selection,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
HOU-AFF-003,Ministry of Lands Housing and Urban Development,Affordable Housing Programme,"Land, Housing & Property Administration",Housing Programmes,Affordable Housing Savings Contributions,C2G,Transactional,Online,Integrated Payment Systems,Affordable Housing Framework Act,Linked to payroll,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
HOU-URB-001,Ministry of Lands Housing and Urban Development,State Department for Urban Development,"Land, Housing & Property Administration",Urban Development,Urban Renewal Project Enrollment,C2G,Entitlement-Based,Hybrid,Project Systems,Urban Areas and Cities Act,Project-based,"Identity, Notifications, Workflow",Citizen,Tier 2
HOU-URB-002,Ministry of Lands Housing and Urban Development,State Department for Urban Development,"Land, Housing & Property Administration",Urban Development,Slum Upgrading Programme Enrollment,C2G,Entitlement-Based,Hybrid,Programme Systems,Urban Areas and Cities Act,Informal settlements,"Identity, Notifications, Workflow",Citizen,Tier 2
HOU-BLD-001,Ministry of Lands Housing and Urban Development,National Building Inspectorate,"Land, Housing & Property Administration",Building Services,Building Compliance Inspection,C2G/B2G,Regulatory,Physical,Inspection Systems,National Building Inspectorate Act,Construction oversight,None,Citizen,Tier 2
HOU-BLD-002,Ministry of Lands Housing and Urban Development,National Building Inspectorate,"Land, Housing & Property Administration",Building Services,Occupancy Certificate Issuance,C2G/B2G,Regulatory,Physical,Inspection Systems,Building Code,Completion certification,None,Citizen,Tier 2
TRN-DRV-001,Ministry of Roads and Transport,National Transport and Safety Authority,Transport & Mobility,Transport Services,Driving Licence Application,C2G,Transactional,Online,eCitizen,Traffic Act,Citizen-facing,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
TRN-DRV-002,Ministry of Roads and Transport,National Transport and Safety Authority,Transport & Mobility,Transport Services,Driving Licence Renewal,C2G,Transactional,Online,eCitizen,Traffic Act,Citizen-facing,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
TRN-DRV-003,Ministry of Roads and Transport,National Transport and Safety Authority,Transport & Mobility,Transport Services,Replacement Of Lost Driving Licence,C2G,Transactional,Online,eCitizen,Traffic Act,Citizen-facing,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
TRN-DRV-004,Ministry of Roads and Transport,National Transport and Safety Authority,Transport & Mobility,Transport Services,International Driving Permit Application,C2G,Transactional,Online,eCitizen,Traffic Act,Outbound travel,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
TRN-VEH-001,Ministry of Roads and Transport,National Transport and Safety Authority,Transport & Mobility,Transport Services,Motor Vehicle Registration,C2G/B2G,Transactional,Online,eCitizen,Traffic Act,First registration,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
TRN-VEH-002,Ministry of Roads and Transport,National Transport and Safety Authority,Transport & Mobility,Transport Services,Transfer Of Motor Vehicle Ownership,C2G/B2G,Transactional,Online,eCitizen,Traffic Act,Sale or transfer,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
TRN-VEH-003,Ministry of Roads and Transport,National Transport and Safety Authority,Transport & Mobility,Transport Services,Replacement Of Logbook,C2G/B2G,Transactional,Online,eCitizen,Traffic Act,Lost or damaged logbook,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
TRN-VEH-004,Ministry of Roads and Transport,National Transport and Safety Authority,Transport & Mobility,Transport Services,Vehicle Inspection Booking,C2G/B2G,Transactional,Online,eCitizen,Traffic Act,Compliance inspection,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
TRN-PSV-001,Ministry of Roads and Transport,National Transport and Safety Authority,Transport & Mobility,Transport Services,Psv Licence Application,B2G,Regulatory,Online,eCitizen,Traffic Act,Commercial transport,"Identity, Notifications, Workflow",Business,Tier 2
TRN-PSV-002,Ministry of Roads and Transport,National Transport and Safety Authority,Transport & Mobility,Transport Services,Psv Licence Renewal,B2G,Regulatory,Online,eCitizen,Traffic Act,Annual renewal,"Identity, Notifications, Workflow",Business,Tier 2
TRN-PSV-003,Ministry of Roads and Transport,National Transport and Safety Authority,Transport & Mobility,Transport Services,Psv Route Approval,B2G,Regulatory,Hybrid,NTSA Systems,Traffic Act,Route allocation,"Identity, Notifications, Workflow",Business,Tier 2
TRN-PSV-004,Ministry of Roads and Transport,National Transport and Safety Authority,Transport & Mobility,Transport Services,Psv Operator Compliance Monitoring,B2G,Regulatory,Physical,NTSA Systems,Traffic Act,Ongoing oversight,None,Business,Tier 2
TRN-DRV-005,Ministry of Roads and Transport,National Transport and Safety Authority,Transport & Mobility,Transport Services,Driver Testing And Examination,C2G,Transactional,Hybrid,NTSA Systems,Traffic Act,Test booking,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
TRN-DRV-006,Ministry of Roads and Transport,National Transport and Safety Authority,Transport & Mobility,Transport Services,Professional Driving Instructor Licensing,B2G,Regulatory,Online,eCitizen,Traffic Act,Driving schools,"Identity, Notifications, Workflow",Business,Tier 2
TRN-RDS-001,Ministry of Roads and Transport,Kenya National Highways Authority,Transport & Mobility,Roads Infrastructure,Road Use Permit,B2G,Regulatory,Online,KeNHA Portal,Kenya Roads Act,Abnormal loads,"Identity, Notifications, Workflow",Business,Tier 2
TRN-RDS-002,Ministry of Roads and Transport,Kenya National Highways Authority,Transport & Mobility,Roads Infrastructure,Abnormal Load Movement Approval,B2G,Regulatory,Online,KeNHA Portal,Kenya Roads Act,Heavy transport,"Identity, Notifications, Workflow",Business,Tier 2
TRN-RDS-003,Ministry of Roads and Transport,Kenya Rural Roads Authority,Transport & Mobility,Roads Infrastructure,Rural Roads Access Requests,G2G,Transactional,Physical,KeRRA Systems,Kenya Roads Act,Government coordination,Payments,Internal Government,Tier 3
TRN-RDS-004,Ministry of Roads and Transport,Kenya Urban Roads Authority,Transport & Mobility,Roads Infrastructure,Urban Roads Access Requests,G2G,Transactional,Physical,KURA Systems,Kenya Roads Act,Government coordination,Payments,Internal Government,Tier 3
TRN-MAR-001,Ministry of Roads and Transport,Kenya Maritime Authority,Transport & Mobility,Maritime Transport,Seafarer Certification,B2G,Regulatory,Online,KMA Portal,Merchant Shipping Act,Maritime professionals,"Identity, Notifications, Workflow",Business,Tier 2
TRN-MAR-002,Ministry of Roads and Transport,Kenya Maritime Authority,Transport & Mobility,Maritime Transport,Ship Registration,B2G,Regulatory,Online,KMA Portal,Merchant Shipping Act,Vessel registration,"Identity, Notifications, Workflow",Business,Tier 2
TRN-MAR-003,Ministry of Roads and Transport,Kenya Maritime Authority,Transport & Mobility,Maritime Transport,Maritime Safety Compliance,B2G,Regulatory,Physical,KMA Systems,Merchant Shipping Act,Port state control,None,Business,Tier 2
TRN-AVI-001,Ministry of Roads and Transport,Kenya Civil Aviation Authority,Transport & Mobility,Aviation Transport,Pilot Licensing,B2G,Regulatory,Online,KCAA Portal,Civil Aviation Act,Aviation professionals,"Identity, Notifications, Workflow",Business,Tier 2
TRN-AVI-002,Ministry of Roads and Transport,Kenya Civil Aviation Authority,Transport & Mobility,Aviation Transport,Aircraft Registration,B2G,Regulatory,Online,KCAA Portal,Civil Aviation Act,Aviation assets,"Identity, Notifications, Workflow",Business,Tier 2
TRN-AVI-003,Ministry of Roads and Transport,Kenya Civil Aviation Authority,Transport & Mobility,Aviation Transport,Aviation Safety Certification,B2G,Regulatory,Physical,KCAA Systems,Civil Aviation Act,Operator oversight,None,Business,Tier 2
EDU-BAS-001,Ministry of Education,State Department for Basic Education,Education & Skills Development,Basic Education,Registration Of Basic Education Institutions,B2G,Regulatory,Hybrid,MoE Systems,Basic Education Act,Public and private schools,"Identity, Notifications, Workflow",Business,Tier 2
EDU-BAS-002,Ministry of Education,State Department for Basic Education,Education & Skills Development,Basic Education,Approval Of New Schools,B2G,Regulatory,Hybrid,MoE Systems,Basic Education Act,Institution licensing,"Identity, Notifications, Workflow",Business,Tier 2
EDU-BAS-003,Ministry of Education,State Department for Basic Education,Education & Skills Development,Basic Education,Student Transfer Processing,C2G,Transactional,Online,MoE Portal,Basic Education Act,Inter-school transfers,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
EDU-BAS-004,Ministry of Education,State Department for Basic Education,Education & Skills Development,Basic Education,School Capitation Disbursement,G2G,Transactional,Physical,IFMIS,Basic Education Act,Public schools funding,Payments,Internal Government,Tier 3
EDU-BAS-005,Ministry of Education,State Department for Basic Education,Education & Skills Development,Basic Education,Textbook Approval And Listing,B2G,Regulatory,Physical,MoE Systems,Basic Education Act,Publishers,None,Business,Tier 2
EDU-TSC-001,Ministry of Education,Teachers Service Commission,Education & Skills Development,Teacher Management,Teacher Registration,B2G,Regulatory,Online,TSC Portal,Teachers Service Commission Act,Professional registration,"Identity, Notifications, Workflow",Business,Tier 2
EDU-TSC-002,Ministry of Education,Teachers Service Commission,Education & Skills Development,Teacher Management,Teacher Transfer Application,C2G,Transactional,Online,TSC Portal,Teachers Service Commission Act,Employment-related,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
EDU-TSC-003,Ministry of Education,Teachers Service Commission,Education & Skills Development,Teacher Management,Teacher Promotion Processing,G2G,Transactional,Physical,TSC Systems,Teachers Service Commission Act,Career progression,Payments,Internal Government,Tier 3
EDU-TSC-004,Ministry of Education,Teachers Service Commission,Education & Skills Development,Teacher Management,Disciplinary Case Management,G2G,Transactional,Physical,TSC Systems,Teachers Service Commission Act,Professional discipline,Payments,Internal Government,Tier 3
EDU-HE-001,Ministry of Education,Commission for University Education,Education & Skills Development,Higher Education,University Accreditation,B2G,Regulatory,Online,CUE Portal,Universities Act,Institutional accreditation,"Identity, Notifications, Workflow",Business,Tier 2
EDU-HE-002,Ministry of Education,Commission for University Education,Education & Skills Development,Higher Education,Approval Of Academic Programmes,B2G,Regulatory,Online,CUE Portal,Universities Act,Programme accreditation,"Identity, Notifications, Workflow",Business,Tier 2
EDU-HE-003,Ministry of Education,Commission for University Education,Education & Skills Development,Higher Education,Foreign Qualifications Recognition,C2G/B2G,Regulatory,Online,CUE Portal,Universities Act,Qualification validation,"Identity, Notifications, Workflow",Citizen,Tier 2
EDU-HELB-001,Ministry of Education,Higher Education Loans Board,Education & Skills Development,Higher Education,Student Loan Application,C2G,Transactional,Online,HELB Portal,HELB Act,Student financing,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
EDU-HELB-002,Ministry of Education,Higher Education Loans Board,Education & Skills Development,Higher Education,Student Loan Disbursement,C2G,Transactional,Physical,HELB Systems,HELB Act,Funding release,Payments,Citizen,Tier 2
EDU-HELB-003,Ministry of Education,Higher Education Loans Board,Education & Skills Development,Higher Education,Loan Repayment Processing,C2G,Transactional,Online,HELB Portal,HELB Act,Post-study obligation,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
EDU-HELB-004,Ministry of Education,Higher Education Loans Board,Education & Skills Development,Higher Education,Loan Compliance Clearance,C2G/B2G,Regulatory,Online,HELB Portal,HELB Act,Required for employment,"Identity, Notifications, Workflow",Citizen,Tier 2
EDU-TVET-001,Ministry of Education,TVET Authority,Education & Skills Development,TVET Education,Registration Of Tvet Institutions,B2G,Regulatory,Online,TVETA Portal,TVET Act,Technical institutions,"Identity, Notifications, Workflow",Business,Tier 2
EDU-TVET-002,Ministry of Education,TVET Authority,Education & Skills Development,TVET Education,Accreditation Of Tvet Programmes,B2G,Regulatory,Online,TVETA Portal,TVET Act,Programme approval,"Identity, Notifications, Workflow",Business,Tier 2
EDU-TVET-003,Ministry of Education,TVET Authority,Education & Skills Development,TVET Education,Inspection And Compliance Monitoring,B2G,Regulatory,Physical,TVETA Systems,TVET Act,Quality assurance,None,Business,Tier 2
EDU-EXM-001,Ministry of Education,Kenya National Examinations Council,Education & Skills Development,Examinations,Registration For National Examinations,C2G,Transactional,Online,KNEC Portal,KNEC Act,Candidates and schools,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
EDU-EXM-002,Ministry of Education,Kenya National Examinations Council,Education & Skills Development,Examinations,Release Of Examination Results,C2G,Informational,Online,KNEC Portal,KNEC Act,Results access,"Identity, Notifications, Workflow",Citizen,Tier 2
EDU-EXM-003,Ministry of Education,Kenya National Examinations Council,Education & Skills Development,Examinations,Certification Of Examination Results,C2G,Transactional,Online,KNEC Portal,KNEC Act,Certificates,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
HLT-PUB-001,Ministry of Health,Directorate of Public Health,Health & Public Health Regulation,Public Health,Public Health Inspection Services,C2G/B2G,Regulatory,Physical,County Health Offices,Public Health Act,Premises inspection,None,Citizen,Tier 1
HLT-PUB-002,Ministry of Health,Directorate of Public Health,Health & Public Health Regulation,Public Health,Food Handler Certification,C2G,Transactional,Hybrid,County Systems,Public Health Act,Occupational requirement,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
HLT-PUB-003,Ministry of Health,Directorate of Public Health,Health & Public Health Regulation,Public Health,Disease Surveillance And Notification,G2G,Transactional,Physical,DHIS2,Public Health Act,Notifiable diseases,Payments,Internal Government,Tier 3
HLT-PUB-004,Ministry of Health,Directorate of Public Health,Health & Public Health Regulation,Public Health,Environmental Health Licensing,B2G,Regulatory,Hybrid,County Systems,Public Health Act,Sanitation-related,"Identity, Notifications, Workflow",Business,Tier 2
